PETSc, parallel, CONVERGED, 11.920113, 10000, 5, 2, 0.289482,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 10000 |
PETSc, serial, CONVERGED, 0.000000, 100, 6, 1, 0.025346, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 100 |
PETSc, serial, CONVERGED, 0.000000, 100, 6, 1, 0.025079, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 100 |
PETSc, parallel, CONVERGED, 0.001060, 100, 5, 2, 0.165457,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 100 |
PETSc, parallel, CONVERGED, 0.001662, 100, 5, 2, 0.173672,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 100 |
PETSc, serial, CONVERGED, 0.000000, 1000, 5, 1, 0.077958, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 1000 |
PETSc, serial, CONVERGED, 0.000000, 1000, 6, 1, 0.139534, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 1000 |
PETSc, parallel, CONVERGED, 0.184624, 1000, 5, 2, 0.197150,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 1000 |
PETSc, parallel, CONVERGED, 0.044301, 1000, 5, 2, 0.291530,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 1000 |
PETSc, serial, CONVERGED, 0.000000, 2000, 6, 1, 0.194242, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 2000 |
PETSc, serial, CONVERGED, 0.000000, 2000, 6, 1, 0.222024, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 2000 |
PETSc, parallel, CONVERGED, 0.000901, 2000, 6, 2, 0.951692,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 2000 |
PETSc, parallel, CONVERGED, 0.425055, 2000, 5, 2, 0.334339,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 2000 |
PETSc, serial, CONVERGED, 0.000000, 3000, 8, 1, 0.349175, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 3000 |
PETSc, serial, CONVERGED, 0.000000, 3000, 7, 1, 0.512434, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 3000 |
PETSc, parallel, CONVERGED, 0.004617, 3000, 7, 2, 12.934160,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 3000 |
PETSc, parallel, CONVERGED, 0.005924, 3000, 6, 2, 9.357260,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 3000 |
PETSc, serial, CONVERGED, 0.000000, 4000, 6, 1, 0.321330, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 4000 |
PETSc, serial, CONVERGED, 0.000000, 4000, 6, 1, 0.585317, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 4000 |
PETSc, parallel, CONVERGED, 0.005947, 4000, 7, 2, 7.513286,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 4000 |
PETSc, parallel, CONVERGED, 4.437150, 4000, 5, 2, 0.912883,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 4000 |
PETSc, serial, CONVERGED, 0.000000, 5000, 6, 1, 0.400631, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 5000 |
PETSc, serial, CONVERGED, 0.000000, 5000, 7, 1, 0.510254, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 5000 |
PETSc, parallel, CONVERGED, 0.027287, 5000, 6, 2, 1.229690,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 5000 |
PETSc, parallel, CONVERGED, 2.047756, 5000, 5, 2, 0.291596,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 5000 |
PETSc, serial, CONVERGED, 0.000000, 6000, 7, 1, 0.485174, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 6000 |
PETSc, serial, CONVERGED, 0.000000, 6000, 6, 1, 0.344129, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 6000 |
PETSc, parallel, CONVERGED, 0.010368, 6000, 7, 2, 6.229008,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 6000 |
PETSc, parallel, CONVERGED, 1.136180, 6000, 6, 2, 3.074416,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 6000 |
PETSc, serial, CONVERGED, 0.000000, 7000, 7, 1, 0.431609, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 7000 |
PETSc, serial, CONVERGED, 0.000000, 7000, 6, 1, 0.678580, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 7000 |
PETSc, parallel, CONVERGED, 0.016508, 7000, 7, 2, 9.238839,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 7000 |
PETSc, parallel, CONVERGED, 0.009569, 7000, 7, 2, 11.234660,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 7000 |
PETSc, serial, CONVERGED, 0.000000, 8000, 6, 1, 0.316906, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 8000 |
PETSc, serial, CONVERGED, 0.000000, 8000, 7, 1, 0.899558, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 8000 |
PETSc, parallel, CONVERGED, 0.252773, 8000, 6, 2, 3.295151,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 8000 |
PETSc, parallel, CONVERGED, 0.021703, 8000, 7, 2, 9.679998,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 8000 |
PETSc, serial, CONVERGED, 0.000000, 9000, 6, 1, 0.517207, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 9000 |
PETSc, serial, CONVERGED, 0.000000, 9000, 6, 1, 0.512900, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 9000 |
PETSc, parallel, CONVERGED, 0.277868, 9000, 6, 2, 3.238614,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 9000 |
PETSc, parallel, CONVERGED, 17.618317, 9000, 5, 2, 0.675221,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 9000 |
PETSc, serial, CONVERGED, 0.000000, 10000, 7, 1, 0.798794, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 10000 |
PETSc, serial, CONVERGED, 0.000000, 10000, 7, 1, 1.439342, -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 10000 |
PETSc, parallel, CONVERGED, 9.101160, 10000, 5, 2, 0.234488,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtonls | -m | 10000 |
PETSc, parallel, CONVERGED, 11.920113, 10000, 5, 2, 0.309295,  -snes_mf | -pc_type | none | -snes_max_it | 10000 | -snes_type | newtontr | -m | 10000 |
